MODEL_NO,ALPHA_DYN
1,-0.33333
2,-0.3157863157894737
3,-0.29824263157894737
4,-0.28069894736842105
5,-0.2631552631578947
6,-0.24561157894736843
7,-0.22806789473684214
8,-0.2105242105263158
9,-0.1929805263157895
10,-0.17543684210526317
11,-0.15789315789473685
12,-0.14034947368421055
13,-0.12280578947368423
14,-0.1052621052631579
15,-0.08771842105263161
16,-0.07017473684210529
17,-0.05263105263157897
18,-0.05
19,-0.035087368421052645
20,-0.017543684210526322
21,0.0
